pair_class	trait1	trait2	depression_cohort	ibd_cohort	ibd_subtype	overlap_class	primary_extension	n_valid_snps	trait1_h2_pair	trait1_h2_se_pair	trait1_intercept_pair	trait1_intercept_se_pair	trait2_h2_pair	trait2_h2_se_pair	trait2_intercept_pair	trait2_intercept_se_pair	gcov	gcov_se	gcov_z	gcov_intercept	gcov_intercept_se	gcov_intercept_z	rg	se	z	p	gcov_intercept_flag	both_pair_h2_z4	fdr_all_cross_disease	fdr_primary_extension	fdr_within_pair_class
cross_disease	UKB_GPpsy	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1	1116341	0.0449	0.0026	1.0562	0.0094	0.143	0.0222	1.1471	0.0153	0.0086	0.0033	2.606060606060606	-0.0025	0.0054	-0.46296296296296297	0.1068	0.0426	2.507042253521127	0.0121	0	1	0.025623529411764705	0.0242	0.025623529411764705
cross_disease	UKB_GPpsy	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1	1130931	0.0451	0.0026	1.0577	0.0095	0.0167	0.0024	1.1614	0.0203	0.0034	0.001	3.4	-0.0127	0.0056	-2.267857142857143	0.1246	0.0367	3.395095367847411	0.0007	1	1	0.00252	0.0024	0.00252
cross_disease	UKB_GPpsy	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1	1130931	0.0451	0.0026	1.0578	0.0095	0.0049	0.0012	1.0518	0.0089	0.0016	0.0009	1.777777777777778	-6.736e-05	0.005	-0.013472000000000001	0.1108	0.058	1.9103448275862067	0.0561	0	1	0.07767692307692307	0.0748	0.07767692307692307
cross_disease	UKB_GPpsy	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1	1130933	0.0451	0.0026	1.0577	0.0095	0.0126	0.0019	1.1212	0.0175	0.0024	0.001	2.4	-0.0117	0.0056	-2.0892857142857144	0.0993	0.0436	2.2775229357798166	0.0227	1	1	0.037145454545454544	0.036320000000000005	0.037145454545454544
cross_disease	UKB_ICD10Dep	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1	1113860	0.0149	0.0019	0.9942	0.006	0.2112	0.0262	1.1938	0.0166	0.0094	0.0034	2.7647058823529416	-0.0059	0.0049	-1.2040816326530612	0.1674	0.0609	2.748768472906404	0.006	0	1	0.0144	0.014400000000000001	0.0144
cross_disease	UKB_ICD10Dep	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1	1116344	0.0149	0.0019	0.9942	0.006	0.3007	0.0423	1.1559	0.0198	0.0135	0.0039	3.4615384615384617	-0.0083	0.0051	-1.6274509803921569	0.2022	0.0585	3.456410256410256	0.0005	0	1	0.00252	0.0024	0.00252
cross_disease	UKB_ICD10Dep	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1	1116341	0.0149	0.0019	0.994	0.006	0.143	0.0222	1.1471	0.0153	0.004	0.0035	1.1428571428571428	-2.6649e-05	0.0046	-0.005793260869565217	0.0869	0.0766	1.1344647519582245	0.2568	0	1	0.27190588235294116	0.26796521739130436	0.27190588235294116
cross_disease	UKB_ICD10Dep	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1	1130931	0.015	0.002	0.994	0.0063	0.0167	0.0024	1.1614	0.0203	0.0022	0.0011	2.0	-5.1885e-05	0.0049	-0.010588775510204082	0.1408	0.0673	2.0921248142644875	0.0363	0	1	0.05681739130434783	0.05445	0.05681739130434783
cross_disease	UKB_ICD10Dep	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1	1130931	0.015	0.002	0.994	0.0063	0.0049	0.0012	1.0518	0.0089	0.0004	0.0009	0.4444444444444445	0.0045	0.0047	0.9574468085106382	0.0451	0.11	0.41000000000000003	0.6817	0	1	0.7011771428571428	0.6816999999999999	0.7011771428571428
cross_disease	UKB_ICD10Dep	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1	1130933	0.015	0.002	0.994	0.0063	0.0126	0.0019	1.1212	0.0175	0.0015	0.0009	1.6666666666666667	0.0017	0.0044	0.3863636363636363	0.1072	0.067	1.5999999999999999	0.1099	0	1	0.13464	0.13188	0.13464
within_depression_ukb	UKB_LifetimeMDD	UKB_MDDRecur	UK_Biobank_Cai2020	NA	NA	expected_overlap	0	1150575	0.0582	0.0076	1.0249	0.0068	0.0597	0.0079	1.0208	0.0068	0.0595	0.0072	8.26388888888889	0.8544	0.0063	135.61904761904762	1.0087	0.0167	60.40119760479042	0.0	1	1	nan	nan	0.0
within_depression_ukb	UKB_LifetimeMDD	UKB_GPpsy	UK_Biobank_Cai2020	NA	NA	expected_overlap	0	1150575	0.0582	0.0076	1.0249	0.0068	0.045	0.0026	1.0552	0.0095	0.0451	0.0033	13.666666666666668	0.2605	0.0059	44.152542372881356	0.8807	0.0493	17.864097363083165	2.8076e-71	1	1	nan	nan	8.4228e-71
within_depression_ukb	UKB_LifetimeMDD	UKB_ICD10Dep	UK_Biobank_Cai2020	NA	NA	expected_overlap	0	1150575	0.0582	0.0076	1.0249	0.0068	0.0149	0.0019	0.9942	0.006	0.0187	0.0027	6.9259259259259265	0.0837	0.0046	18.195652173913043	0.6341	0.0826	7.676755447941888	1.6786e-14	1	1	nan	nan	2.01432e-14
within_depression_ukb	UKB_MDDRecur	UKB_GPpsy	UK_Biobank_Cai2020	NA	NA	expected_overlap	0	1150575	0.0597	0.0079	1.0208	0.0068	0.045	0.0026	1.0552	0.0095	0.0492	0.0034	14.47058823529412	0.2449	0.0059	41.50847457627119	0.9493	0.0569	16.68365553602812	1.8996e-62	1	1	nan	nan	3.7992000000000005e-62
within_depression_ukb	UKB_MDDRecur	UKB_ICD10Dep	UK_Biobank_Cai2020	NA	NA	expected_overlap	0	1150575	0.0597	0.0079	1.0208	0.0068	0.0149	0.0019	0.9942	0.006	0.0194	0.0029	6.689655172413794	0.0976	0.0045	21.688888888888894	0.6485	0.0884	7.335972850678732	2.2204e-13	1	1	nan	nan	2.2204e-13
within_depression_ukb	UKB_GPpsy	UKB_ICD10Dep	UK_Biobank_Cai2020	NA	NA	expected_overlap	0	1150575	0.045	0.0026	1.0552	0.0095	0.0149	0.0019	0.9942	0.006	0.0197	0.0018	10.944444444444445	0.1899	0.0058	32.74137931034483	0.7597	0.0568	13.375	7.7325e-41	1	1	nan	nan	1.159875e-40
within_ibd_cohort	IBD_deLange2017	CD_deLange2017	NA	IIBDGC_deLange2017	NA	expected_overlap	0	1144877	0.2177	0.025	1.1791	0.0151	0.3088	0.0409	1.145	0.0188	0.2429	0.0295	8.233898305084747	0.8822	0.0145	60.84137931034482	0.9369	0.012	78.07499999999999	0.0	1	1	nan	nan	0.0
within_ibd_cohort	IBD_deLange2017	UC_deLange2017	NA	IIBDGC_deLange2017	NA	expected_overlap	0	1144987	0.2178	0.0251	1.1791	0.0152	0.1522	0.0216	1.1359	0.0136	0.1655	0.0201	8.233830845771145	0.9269	0.0124	74.75	0.909	0.0154	59.02597402597402	0.0	1	1	nan	nan	0.0
within_ibd_cohort	CD_deLange2017	UC_deLange2017	NA	IIBDGC_deLange2017	NA	expected_overlap	0	1147142	0.3075	0.041	1.144	0.0189	0.1517	0.0216	1.1345	0.0135	0.1413	0.0183	7.721311475409837	0.3191	0.0077	41.44155844155844	0.6541	0.0425	15.390588235294118	1.5832e-53	1	1	nan	nan	2.3748e-53
within_ibd_cohort	IBD_FinnGen_R12	CD_FinnGen_R12	NA	FinnGen_R12	NA	expected_overlap	0	1154078	0.0168	0.0024	1.1586	0.0204	0.005	0.0012	1.0499	0.0085	0.0073	0.0013	5.615384615384616	0.5497	0.0102	53.89215686274509	0.8015	0.0554	14.467509025270758	1.9014e-47	1	1	nan	nan	2.28168e-47
within_ibd_cohort	IBD_FinnGen_R12	UC_FinnGen_R12	NA	FinnGen_R12	NA	expected_overlap	0	1154076	0.0168	0.0024	1.1586	0.0204	0.0129	0.0019	1.1182	0.0175	0.0143	0.0021	6.80952380952381	0.942	0.0184	51.19565217391304	0.9723	0.0137	70.97080291970804	0.0	1	1	nan	nan	0.0
within_ibd_cohort	CD_FinnGen_R12	UC_FinnGen_R12	NA	FinnGen_R12	NA	expected_overlap	0	1154073	0.005	0.0012	1.0499	0.0085	0.0129	0.0019	1.1182	0.0175	0.0049	0.001	4.8999999999999995	0.0601	0.0084	7.154761904761905	0.6079	0.0966	6.292960662525879	3.0791e-10	1	1	nan	nan	3.0791e-10
within_ibd_cross_cohort	IBD_deLange2017	IBD_FinnGen_R12	NA	mixed	IBD	no_known_overlap	0	1115110	0.2132	0.0257	1.1911	0.016	0.0171	0.0024	1.1565	0.02	0.0526	0.007	7.514285714285714	0.072	0.0117	6.153846153846153	0.8718	0.0411	21.21167883211679	7.3157e-100	1	1	nan	nan	2.19471e-99
within_ibd_cross_cohort	CD_deLange2017	CD_FinnGen_R12	NA	mixed	CD	no_known_overlap	0	1117484	0.3033	0.042	1.1535	0.0196	0.0051	0.0012	1.0491	0.0085	0.0321	0.0056	5.732142857142857	0.0337	0.008	4.2125	0.8171	0.0974	8.38911704312115	4.759e-17	1	1	nan	nan	4.759e-17
within_ibd_cross_cohort	UC_deLange2017	UC_FinnGen_R12	NA	mixed	UC	no_known_overlap	0	1117574	0.1491	0.022	1.1416	0.0143	0.013	0.0019	1.1167	0.0173	0.0349	0.0059	5.915254237288136	0.071	0.011	6.454545454545454	0.7915	0.0593	13.347386172006745	1.2644e-40	1	1	nan	nan	1.8966e-40
