locus	pair_type	trait1	trait2	ridge	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	status	message
block1671	depression_cross_cohort	Howard_DEP	FinnGen_DEP	0	1e-05	1928	0.0054151182148652	0.114324195972989	0.037409809777481	0.789744318838338	0.0531065571963265	ok	
block1671	depression_cross_cohort	Howard_DEP	FinnGen_DEP	0	1e-06	1928	0.00568693016892393	0.120062701001062	0.0392875958373806	0.829385548815728	0.00557722417690546	ok	
block1671	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-05	1928	0.000288516308693355	0.000752542126857473	0.0625833851003736	0.162463424234191	0.773912132229884	ok	
block1671	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-06	1928	0.000950695869215152	0.00247971663942983	0.206219766105709	0.535336484157479	0.255013337228166	ok	
block1671	external_disease_pair	Howard_DEP	deLange_IBD	1e-04	1e-05	1928	0.0123315778216258	0.260344772467873	0.0321646698012411	0.679045703632759	0.0161132762765008	ok	
block1671	external_disease_pair	Howard_DEP	deLange_IBD	1e-04	1e-06	1928	0.0125130413040582	0.264175836888701	0.0326379841717012	0.68903809875805	0.00163503887749032	ok	
block1671	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	1e-04	1e-05	1928	2.68276728801379e-05	0.000185336330509532	0.00581931257476674	0.0392474255256278	0.954721097896215	ok	
block1671	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	1e-04	1e-06	1928	0.000190603765608841	0.00131676730430821	0.0413447299346867	0.278842936883117	0.67830496211228	ok	
block1671	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	1e-04	1e-05	1928	0.000202384894911653	0.00427275813191618	0.0439002282890581	0.926798578912994	0.0248260497711202	ok	
block1671	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	1e-04	1e-06	1928	0.000207010216250236	0.00437040810411782	0.0449035277831368	0.947979711257311	0.00253934263918369	ok	
block1671	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	1e-04	1e-05	1928	0.00839991601613398	0.0580299908223168	0.021909647648113	0.150599577678806	0.76106086783463	ok	
block1671	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	1e-04	1e-06	1928	0.0266625725797738	0.184195751377968	0.0695444537175198	0.478025275804186	0.241571946520552	ok	
block1671	depression_cross_cohort	Howard_DEP	FinnGen_DEP	1e-04	1e-05	1928	0.0054151182148652	0.114324195972989	0.037409809777481	0.789744318838338	0.0531065571963265	ok	
block1671	depression_cross_cohort	Howard_DEP	FinnGen_DEP	1e-04	1e-06	1928	0.00568693016892393	0.120062701001062	0.0392875958373806	0.829385548815728	0.00557722417690546	ok	
block1671	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	1e-04	1e-05	1928	0.000288516308693355	0.000752542126857473	0.0625833851003736	0.162463424234191	0.773912132229884	ok	
block1671	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	1e-04	1e-06	1928	0.000950695869215152	0.00247971663942983	0.206219766105709	0.535336484157479	0.255013337228166	ok	
