qtl_key	locus	gene_symbol	gene_id	dataset_label	qtl_type	gwas_trait	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	status	message
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-06	1954	1.46260774897553e-13	0.265464922009904	4.03705214783337e-13	0.732711185160407	0.00182389282914022	ok	
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP	1e-05	1954	4.13915474454451e-24	7.78183579032328e-26	0.979130733507863	0.0184057261884315	0.00246354030370606	ok	
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP	1e-06	1954	4.14835241457508e-24	7.79912790966866e-26	0.98130647274918	0.0184466257939312	0.000246901456891694	ok	
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP	1e-05	1954	3.88169997350445e-24	3.1785010235213e-25	0.918228956606238	0.0751819029718339	0.0065891404219271	ok	
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP	1e-06	1954	3.90485665746362e-24	3.19746270118005e-25	0.923706746722791	0.0756304084149261	0.000662844862280679	ok	
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-05	1954	1.91754445382083e-39	4.22737700175613e-24	4.53601477470283e-16	0.999999999999815	1.85321295091933e-13	ok	
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-06	1954	1.91754445382116e-39	4.22737700175685e-24	4.53601477470361e-16	0.999999999999986	1.85321295091965e-14	ok	
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-05	1954	2.32911915962111e-36	4.22737700175369e-24	5.50960834260375e-13	0.999999999999233	2.18519369748576e-13	ok	
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-06	1954	2.32911915962157e-36	4.22737700175453e-24	5.50960834260484e-13	0.999999999999432	2.1851936974862e-14	ok	
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	Howard_DEP	1e-05	1954	0.0010891255215303	2.04761515011483e-05	0.977002095499997	0.0183646465214426	0.0035236563055291	ok	
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	Howard_DEP	1e-06	1954	0.00109259044341507	2.05412939149929e-05	0.980110310187141	0.0184230714360923	0.000353486639436284	ok	
