qtl_key	locus	gene_symbol	gene_id	dataset_label	qtl_type	gwas_trait	p12	PP.H4	status	message	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	idx1	idx2
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP			not_screened_by_abf_gate								
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP			not_screened_by_abf_gate								
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-05		not_estimable	no_signal_pair							
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-06		not_estimable	no_signal_pair							
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-05		not_estimable	no_signal_pair							
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-06		not_estimable	no_signal_pair							
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP			not_screened_by_abf_gate								
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP			not_screened_by_abf_gate								
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-05	4.38942178209072e-15	ok		1954	5.71339129126517e-30	1.63236477001286e-15	3.50007020258106e-15	0.999999999999986	1	1
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-06	4.38942178209079e-16	ok		1954	5.71339129126525e-30	1.63236477001288e-15	3.50007020258111e-15	1	1	1
