qtl_key	locus	dataset_label	dataset_id	qtl_type	sample_size	gene_id	gene_symbol	molecular_trait_id	n_aligned	min_qtl_p	n_molecular_traits_screened_for_gene
block1671__QTD000321__ENSG00000134824__ENSG00000134824	block1671	GTEx_small_intestine_eQTL	QTD000321	eQTL	174	ENSG00000134824	FADS2	ENSG00000134824	1652	4.39869e-26	1
block464__QTD000325__ENSG00000164068__3:49700709:49701533:clu_48627_+	block464	GTEx_small_intestine_sQTL	QTD000325	sQTL	174	ENSG00000164068	RNF123	3:49700709:49701533:clu_48627_+	1448	1.7038099999999998e-20	1
block464__QTD000325__ENSG00000173531__3:49684189:49684371:clu_72047_-	block464	GTEx_small_intestine_sQTL	QTD000325	sQTL	174	ENSG00000173531	MST1	3:49684189:49684371:clu_72047_-	1470	1.14515e-38	1
block154__QTD000356__ENSG00000118197__ENSG00000118197	block154	GTEx_blood_eQTL	QTD000356	eQTL	670	ENSG00000118197	DDX59	ENSG00000118197	1959	6.51605e-11	1
block154__QTD000356__ENSG00000170128__ENSG00000170128	block154	GTEx_blood_eQTL	QTD000356	eQTL	670	ENSG00000170128	GPR25	ENSG00000170128	1959	6.5495e-09	1
block464__QTD000356__ENSG00000173540__ENSG00000173540	block464	GTEx_blood_eQTL	QTD000356	eQTL	670	ENSG00000173540	GMPPB	ENSG00000173540	1496	5.02805e-07	1
block464__QTD000356__ENSG00000182179__ENSG00000182179	block464	GTEx_blood_eQTL	QTD000356	eQTL	670	ENSG00000182179	UBA7	ENSG00000182179	1438	3.62456e-13	1
block1671__QTD000356__ENSG00000124920__ENSG00000124920	block1671	GTEx_blood_eQTL	QTD000356	eQTL	670	ENSG00000124920	MYRF	ENSG00000124920	1836	2.6612600000000003e-23	1
block1671__QTD000356__ENSG00000134824__ENSG00000134824	block1671	GTEx_blood_eQTL	QTD000356	eQTL	670	ENSG00000134824	FADS2	ENSG00000134824	1777	5.01728e-122	1
block1671__QTD000356__ENSG00000167994__ENSG00000167994	block1671	GTEx_blood_eQTL	QTD000356	eQTL	670	ENSG00000167994	RAB3IL1	ENSG00000167994	1487	6.09793e-29	1
block464__QTD000360__ENSG00000067560__3:49360382:49360928:clu_31498_-	block464	GTEx_blood_sQTL	QTD000360	sQTL	670	ENSG00000067560	RHOA	3:49360382:49360928:clu_31498_-	1816	4.38605e-08	1
block464__QTD000360__ENSG00000114316__3:49292598:49294407:clu_31495_-	block464	GTEx_blood_sQTL	QTD000360	sQTL	670	ENSG00000114316	USP4	3:49292598:49294407:clu_31495_-	1923	1.82961e-07	1
block464__QTD000360__ENSG00000164068__3:49700709:49701533:clu_21929_+	block464	GTEx_blood_sQTL	QTD000360	sQTL	670	ENSG00000164068	RNF123	3:49700709:49701533:clu_21929_+	1520	4.44827e-33	2
block464__QTD000360__ENSG00000173531__3:49684189:49684314:clu_31528_-	block464	GTEx_blood_sQTL	QTD000360	sQTL	670	ENSG00000173531	MST1	3:49684189:49684314:clu_31528_-	1542	1.9018500000000002e-28	1
